Month,YYYY,ICS_ALL
February,1961,91.5
February,1962,99.7
February,1963,98.5
November,1964,99.6
February,1965,102
August,1966,97
November,1967,94.7
November,1968,94.2
November,1969,90.3
November,1970,75.8
November,1971,80.6
November,1972,93.2
November,1973,76.9
November,1974,64.6
November,1975,70.6
November,1976,86
November,1977,87.7
December,1978,79.4
December,1979,66
December,1980,64.5
December,1981,70
December,1982,68
December,1983,87.5
December,1984,97.5
December,1985,93.2
December,1986,94.8
December,1987,90.9
December,1988,93.7
December,1989,92.7
December,1990,81.6
December,1991,77.5
December,1992,77.3
December,1993,82.8
December,1994,92.3
December,1995,92.2
December,1996,93.6
December,1997,103.2
December,1998,104.6
December,1999,105.8
December,2000,107.6
December,2001,89.2
December,2002,89.6
December,2003,87.6
December,2004,95.2
December,2005,88.5
December,2006,87.3
December,2007,85.6
December,2008,63.7
December,2009,66.3
December,2010,71.8
December,2011,67.3
December,2012,76.6
December,2013,79.2
December,2014,84.1
December,2015,92.9
December,2016,91.9
December,2017,96.8
December,2018,98.4
December,2019,96
October,2020,82.1
